"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002790","GO:0002790","peptide secretion","84/4251","242/18722",1.27486915468884e-05,0.000218504213315931,0.000148679736044384,"ISL1/SNAP25/EGFR/RIMS2/UCP2/PTPN11/PASK/CCN3/ABCA12/SYT7/STX1A/REST/PCLO/CHGA/TCF7L2/GLUL/CPLX1/VSNL1/JAK2/ILDR2/PFKM/GJA1/CHD7/HMGCR/TRPM4/EDN1/RAB8B/ANO1/ADRA2A/SFRP1/IL1RN/GLUD1/INHBB/SLC16A1/RAB1A/STX4/BRSK2/IRS1/STXBP3/ANXA1/CNR1/GPER1/AACS/ADCYAP1/KIF5B/EFNA5/HDAC1/RAC1/SRI/SOX4/RBP4/PPP3CA/FKBP1B/KCNB1/GAL/TFR2/RAPGEF4/CD74/GPLD1/TFAP2B/ADORA1/ARNTL/ITSN1/TIAM1/TRPM2/FOXA2/CD38/SYT9/CPLX3/LEP/RFX3/DPP4/KLF7/MIDN/ABCA1/NEUROD1/NMU/GPR27/SYBU/PTPRN2/VIP/ENSA/CCL5/S100A8",84
"GO:1901216","GO:1901216","positive regulation of neuron death","41/4251","97/18722",1.34998043178001e-05,0.000230747336472915,0.000157010487619903,"PRNP/PICALM/MYBL2/CLU/REST/PARP1/NUPR1/MCL1/SNCA/CDK5R1/BCL2L11/AIMP2/NQO2/FCGR2B/CDC34/ATF2/NQO1/MAP2K4/MYB/DAXX/TGFB2/FBXW7/ITGAM/RHOA/SARM1/EGR1/CDC42/GRN/CAPN2/SRPK2/TFAP2B/TLR4/ADORA1/EPHA7/TRPM2/SSH1/EFNB2/MAPT/BAX/LCN2/FOS",41
"GO:0051216","GO:0051216","cartilage development","69/4251","190/18722",1.37219394306979e-05,0.0002324451339937,0.000158165742630397,"MAF/PTPN11/CCN3/MDK/TYMS/OSR2/GHR/MAPK14/RARG/EFEMP1/WNT2B/OSR1/TRPS1/TSKU/ATP7A/AXIN2/TGFBI/MEX3C/ITGB8/SOX9/TGFBR2/EDN1/SMAD3/GLI3/CTSK/SHOX2/ZBTB16/SOX5/BMPR1A/HYAL1/CD44/WNT11/SNAI2/TAPT1/BMP4/FRZB/SCIN/CHI3L1/SMAD1/ECM1/SMAD5/ADAMTS12/SIX2/BMP2/THRA/LNPK/GLG1/SFRP2/GPLD1/TGFBR1/SATB2/FGFR3/PRRX1/CNMD/ACVRL1/PITX1/MEF2C/BGN/LEP/SULF1/STC1/SERPINH1/COL27A1/GREM1/COMP/HOXB3/LUM/CCN2/COL1A1",69
"GO:0006692","GO:0006692","prostanoid metabolic process","25/4251","49/18722",1.38210250280299e-05,0.0002324451339937,0.000158165742630397,"HPGDS/AKR1C2/PTGIS/HPGD/AKR1C3/AKR1C1/PLA2G4A/PTGES/CBR1/EDN1/ACOX1/PTGS1/ANXA1/PLA2G3/PRXL2B/ATP6V1B1/PTGDS/TNFRSF1A/PTGR1/GSTM1/CD74/AVPR1A/AKR1B1/ZADH2/CYP4F8",25
"GO:0006693","GO:0006693","prostaglandin metabolic process","25/4251","49/18722",1.38210250280299e-05,0.0002324451339937,0.000158165742630397,"HPGDS/AKR1C2/PTGIS/HPGD/AKR1C3/AKR1C1/PLA2G4A/PTGES/CBR1/EDN1/ACOX1/PTGS1/ANXA1/PLA2G3/PRXL2B/ATP6V1B1/PTGDS/TNFRSF1A/PTGR1/GSTM1/CD74/AVPR1A/AKR1B1/ZADH2/CYP4F8",25
"GO:0045778","GO:0045778","positive regulation of ossification","25/4251","49/18722",1.38210250280299e-05,0.0002324451339937,0.000158165742630397,"PTPN11/OSR2/OSR1/ACVR2B/ADRB2/SOX11/ANO6/SMAD3/ZBTB16/P2RX7/BMPR1A/BMP4/ATP2B1/ACVR1/TGFB2/NELL1/BMP2/ACVR2A/TOB2/MEF2C/FBN2/TMEM119/ISG15/PTN/TAC1",25
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","25/4251","49/18722",1.38210250280299e-05,0.0002324451339937,0.000158165742630397,"RAB5A/CNTN2/SLC8A2/SNCA/NEURL1/KRAS/RAB3GAP1/DLG4/JPH3/CAMK2B/SYP/S100B/GRIK2/SYNGR1/ARC/RAB11A/APP/EPHB2/NPTN/GRM5/SHISA8/ZDHHC2/APOE/MCTP1/EGR2",25
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","85/4251","246/18722",1.38214626143233e-05,0.0002324451339937,0.000158165742630397,"MAPK1/UCP2/RALB/AKR1C3/GDAP1/HNRNPA1/NIM1K/CTSV/WNT2B/GLUL/BRIP1/LAMP2/KIF26A/KPTN/PRKAG1/FAS/USF1/STK26/NFE2L2/CACNB3/SKP2/KRT20/COMT/SFRP1/PLEC/MYOCD/AQP3/DAPL1/AXL/STK24/INHBB/GAS6/FAM107A/BRSK2/GAS2L1/SESN1/SNAI2/GABARAPL1/ATP2B1/ASNS/KLF10/SLC2A1/SH3GLB1/RRAGD/VDR/IMPACT/FOLR2/XBP1/KCNB1/MAP1LC3B/XPR1/SLC38A2/ARHGAP35/PRKAA1/FNIP1/WIPI1/MAX/TRIM24/PPARA/SFRP2/FOLR1/AVPR1A/PPM1D/IFI16/SESN3/UPP1/FOXA2/SRD5A1/PRKAA2/LEP/NAMPT/CDKN2B/POSTN/PDK4/DNAJC15/NR4A2/CBS/MAP1LC3A/FOXO1/LCN2/PCK1/PTN/FOS/COL1A1/PENK",85
"GO:0051403","GO:0051403","stress-activated MAPK cascade","83/4251","239/18722",1.40133079815897e-05,0.000235041392963936,0.000159932349747667,"PAFAH1B1/MAPK1/EGFR/IGFBP6/FOXM1/NBR1/TNIK/MAPK14/F2RL1/HIPK3/TLR3/CRYAB/MAP3K7/MAP3K20/TNFRSF19/TPD52L1/INAVA/ADORA2B/RIPK1/TRAF4/ITCH/ARL6IP5/ZMYND11/SASH1/DUSP3/FAS/WNT16/NFKB1/HMGCR/CCL21/GADD45G/ZFP36L1/SMAD3/SFRP1/FCGR2B/RIPK2/SH3RF2/MDFIC/TAOK3/ATF2/MAPK8IP2/DLG1/LTBR/PBK/PYCARD/PJA2/BMP4/NOD2/PINK1/MAP2K4/MAPK13/TGFB2/MAP4K1/TAOK2/AIDA/ANKRD6/DACT1/SDCBP/BMP2/CDC42EP5/CDC42/MAP2K7/MYC/SFRP2/TLR4/DUSP1/RAP2A/APP/TAOK1/IGF1R/LEP/PTGER4/KLHDC10/CRACR2A/MAP4K3/EZR/GADD45B/FOXO1/SERPINB3/FZD7/VEGFA/CCN2/CCL19",83
"GO:0003158","GO:0003158","endothelium development","53/4251","136/18722",1.40679782077623e-05,0.000235329139459449,0.000160128144933267,"CLDN1/JAG1/F2RL1/CXCR4/CLIC4/GSTM3/ROCK2/BTG1/PECAM1/ACVR2B/COL22A1/ATOH8/TMEM100/GJA1/MESP1/TNMD/ADD1/NR2F2/RAP1A/APOLD1/NRP1/CD34/BMP4/FOXP1/ACVR1/STARD13/PROX1/ADAMTS12/TNFRSF1A/RHOA/TJP1/RHOB/ALOX12/MYADM/FSTL1/ARHGEF26/F11R/RAP2C/CNMD/ACVRL1/MET/RAPGEF2/CEACAM1/RDX/ID1/STC1/HEY2/EZR/CXCL10/LCN2/COL15A1/VEGFA/PTN",53
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","40/4251","94/18722",1.41238820853207e-05,0.000235635937024512,0.000160336903292204,"EGFR/CCNE2/CDKN2A/CCND1/CDC25A/CKS2/CDC6/CCNF/CEBPA/CCNE1/PSRC1/BLM/CCNB1/CDK5R1/CDC25C/CCNA2/CCNB2/CCND3/CDKN2C/CCNG2/CDK5R2/NR2F2/MYOCD/HEXIM1/PKMYT1/CDKN3/LATS2/PLK1/PROX1/SFN/DIRAS3/CCNJ/GTF2H1/CDK7/CCND2/CDKN1C/CCNA1/RGCC/CDKN2B/ACTB",40
"GO:0051051","GO:0051051","negative regulation of transport","146/4251","470/18722",1.45129722191627e-05,0.000240890064629614,0.000163912039412534,"PICALM/VAMP3/UFM1/PLN/ARFIP1/UCP2/PTPN11/CCN3/CTTNBP2NL/PLA2R1/RHBDF1/REST/CRYAB/NDFIP2/SYT4/ATP1A2/SCAMP5/ADTRP/PXK/PROM2/CRY2/CAB39/CHGA/PTGER3/CHP1/VSNL1/BEST3/OSR1/PEA15/RAB11FIP1/ATP7A/PID1/CAV1/BAG3/LMAN1/WDR54/ARL6IP5/PACSIN1/APOD/SNCA/GNAO1/YOD1/FGF12/GJA1/NFKB1/CACNB3/LGALS3/FERMT1/HMGCR/APPL2/ADIPOQ/EDN1/LYPLA1/COMT/CALM3/RGS4/FRMD4A/SLC30A1/ADRA2A/SFRP1/RAP1A/WNK3/FCGR2B/ITGAV/INHBB/TBC1D4/MDFIC/DLG4/C4orf3/ARF6/KCNH2/SP100/IRS1/P2RY1/STXBP3/ANXA1/VAMP8/CLIC2/CNR1/STXBP6/ADCYAP1/ABCA7/PIP4P2/ANK3/SRCIN1/HDAC1/CYFIP1/SH3GL3/OXTR/RAC1/TXN/TNFRSF1A/SRI/CD47/SDCBP/CD36/PPP3CA/ERBB3/FKBP1B/KCNB1/RAB7A/MAOB/SLC6A9/SYT11/ARHGAP1/CD200/KCNAB1/CD74/GDI1/UBE2G2/LRPAP1/BARD1/RAB11FIP3/ADORA1/CAMK2D/IDH2/MMP9/APPL1/EPHB2/SIAH3/VPS35/HECW2/TWIST1/LEP/CEACAM1/GSTM2/STC1/KLF7/APOE/MIDN/MCTP1/ENPP1/RAB23/F2R/SVIP/MTMR2/NDFIP1/NMU/BAG4/PPP1R9A/CASQ2/CALM1/INSIG1/VIP/NOS1/YWHAE",146
"GO:0090174","GO:0090174","organelle membrane fusion","45/4251","110/18722",1.4515613650565e-05,0.000240890064629614,0.000163912039412534,"VAV3/SNAP23/SNAP25/VAMP3/SYT13/CAV2/ANKFY1/RAB7B/STX16/SYT7/STX1A/SYT1/SYT4/USO1/MFN1/CHMP2B/CHP1/CPLX1/ANXA2/SNCA/ARL8B/SEC22B/RAB8B/C2CD5/STXBP1/GNAI3/TBC1D4/STX4/YIPF5/ANXA1/VAMP8/STXBP6/STX19/KIF5B/CPLX2/ATP13A2/PIP4K2A/SEPTIN8/EEA1/RAB7A/SYT11/VTI1B/STX2/SYT9/CPLX3",45
"GO:0031570","GO:0031570","DNA integrity checkpoint","49/4251","123/18722",1.46281807711305e-05,0.000242117619992881,0.000164747321280195,"PTPN11/DOT1L/MAPK14/GTSE1/CCND1/DTL/CDC6/MAP3K20/DNA2/TIMELESS/BLM/CDC14B/MDC1/E2F1/FOXN3/BRIP1/CLSPN/CDC45/THOC1/PIDD1/DONSON/CDK1/BRCA1/EME1/WAC/TAOK3/ATF2/INTS7/WDR76/TICRR/RHNO1/PLK2/TAOK2/PLK1/RFWD3/CCAR2/SOX4/FANCD2/FZR1/TIPIN/CHEK1/RAD9A/STK33/RNASEH2B/FEM1B/TAOK1/CDC5L/TOPBP1/CDT1",49
"GO:0001657","GO:0001657","ureteric bud development","39/4251","91/18722",1.47297470685378e-05,0.000242518906459153,0.000165020373982375,"GATA3/CAT/FGFR2/WNT2B/OSR1/TACSTD2/SDC4/LGR4/SOX9/SDC1/SPRY1/SMAD3/GLI3/SFRP1/HOXB7/WNT11/SLIT2/DLG1/FOXJ1/BMP4/ARG2/SMAD1/SMAD5/SIX2/BMP2/PAX2/CTNNBIP1/MYC/HES1/EYA1/EPCAM/NPNT/SIX4/CALB1/GREM1/ROBO2/RET/VEGFA/SIX1",39
"GO:0051983","GO:0051983","regulation of chromosome segregation","39/4251","91/18722",1.47297470685378e-05,0.000242518906459153,0.000165020373982375,"ESPL1/BUB1B/CDC6/BUB1/PTTG1/ZWINT/NDC80/DLGAP5/UBE2C/TRIP13/ANAPC5/CENPE/CCNB1/TACC3/MKI67/FBXO5/KIF2C/TTK/KNTC1/CENPF/WAPL/CDCA2/RMI2/AURKB/CDK5RAP2/HNRNPU/SPDL1/MAD2L2/PLK1/CDC23/MAD2L1/NUMA1/NEK6/GEN1/CSNK2A2/DUSP1/HECW2/CDT1/ANAPC7",39
"GO:1902969","GO:1902969","mitotic DNA replication","11/4251","14/18722",1.48433679307582e-05,0.000243749861334153,0.000165857969025144,"GINS1/LIG1/MCM6/CDC45/MCM2/MCM4/BCL6/BRCA2/RAD51/MCM3/POLA1",11
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","44/4251","107/18722",1.54005182530454e-05,0.000252238775460454,0.00017163419408025,"PAFAH1B1/TMOD3/WDR1/MYH11/PMP22/CAPN3/AKAP13/KNL1/LMOD1/CFLAR/PDGFRA/RFX2/PRKAR1A/CD9/EDN1/TENM4/PLEC/KRT8/ANK2/UGT8/OBSCN/PGM5/FLII/PLA2G3/CSRP1/DICER1/PROX1/TMF1/LMOD2/ACTA1/ITGB4/ITGB1/CCDC136/TMOD2/SIX4/PHLDB2/PDGFRB/CFL2/MTMR2/LDB3/TNNT1/ACTC1/KRT19/NEB",44
"GO:0051383","GO:0051383","kinetochore organization","15/4251","23/18722",1.58015068468463e-05,0.000258132428255903,0.000175644490855158,"NDC80/DLGAP5/NUF2/CENPE/SMC4/KNTC1/CENPF/CENPX/CENPA/CENPK/CENPN/CENPW/SMC2/CENPH/CDT1",15
"GO:0098773","GO:0098773","skin epidermis development","37/4251","85/18722",1.5847058224824e-05,0.000258204146089146,0.000175693290776928,"TGM3/EGFR/SOSTDC1/TP63/TNFRSF19/TMEM79/FGFR2/SPINK5/FZD3/ATP7A/CD109/LGR4/LGR5/SOX9/FERMT1/DNASE1L2/FUZ/LRP4/APCDD1/LDB2/FOXN1/KRT25/KRT71/HDAC1/FOXQ1/TGFB2/NSDHL/WNT10A/KRT27/HDAC2/NUMA1/GAL/FZD6/LHX2/IGFBP5/CDH3/FST",37
"GO:0071634","GO:0071634","regulation of transforming growth factor beta production","22/4251","41/18722",1.60369297369527e-05,0.000260620881450529,0.000177337742250731,"CD46/SERPINB7/CREB1/TSKU/ATP6AP2/ITGB8/LTBP1/FERMT1/SMAD3/ITGAV/BMPR1A/HSP90AB1/WNT11/ATF2/CD34/MYB/LAPTM4B/TGFB2/CD200/CDH3/XCL1/LUM",22
"GO:0031424","GO:0031424","keratinization","28/4251","58/18722",1.65141677518893e-05,0.000267683137745741,0.000182143207490578,"LCE2B/KRT2/TGM3/ABCA12/LCE1B/CERS3/CDSN/PPL/TMEM79/KLK5/EVPL/CNFN/CASP14/SPRR4/CYP26B1/IVL/KAZN/TCHH/SPRR1B/SFN/SPRR2G/TGM1/SPRR1A/LCE1E/CDH3/LCE3D/KRT16/SPRR3",28
"GO:0051225","GO:0051225","spindle assembly","47/4251","117/18722",1.67583513656684e-05,0.000270941077620717,0.000184360050970661,"NEK2/AURKA/MYBL2/GOLGA2P5/KIF4A/CHMP4C/CHMP2B/SPAG5/CDC20/FBXO5/ASPM/CHMP1B/CCNB2/KIF15/PRC1/TPX2/KIFC1/SAC3D1/AURKB/RACGAP1/HAUS8/HAUS7/HNRNPU/HAUS5/CEP97/MAP9/KIF23/PLK1/RHOA/KPNB1/KIF11/NUMA1/MAPRE1/NEK6/ABRAXAS2/ARHGEF10/RAB11A/GOLGA2/DYNC1H1/NEK7/CCDC69/WRAP73/MZT1/KIF2A/HAUS1/SMC3/HAUS6",47
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","90/4251","265/18722",1.6919680985925e-05,0.000272846166644492,0.000185656356103168,"ISL1/UFM1/SCGB2A2/RORA/PTGIS/AKR1C3/RIOK3/TP63/THRB/RXRA/SLC46A2/MAP3K7/NR3C1/PARP1/RARG/DAB2/RNF125/CRY2/INAVA/YAP1/JAK2/ITCH/EZH2/SMARCA4/SKP2/NR3C2/AHR/AHRR/NR1D2/NR2F2/SFRP1/RNF14/PLPP1/RIPK2/CYP26B1/CITED2/ALOXE3/BRCA1/SAFB/PGR/SNAI2/ALOX15B/PIAS2/TRIM16/GPER1/OAS3/NOD2/FOXP1/ESR1/HDAC1/STAT3/DAXX/PDK3/PPARG/AR/ESRRG/DDX60/RHOA/VDR/CYP7B1/KDM1A/BMP2/PRMT2/POU4F2/RNF135/TMF1/THRA/PPP5C/CNOT9/ZNF536/TRIM24/PPARA/TLR4/ARNTL/PRAME/RORB/ASXL2/PKN1/NFKBIA/DDX17/HEYL/TWIST1/LEP/UFL1/PAK1/LMO3/TSPAN6/SCGB2A1/ARNT/NR4A2",90
"GO:0030199","GO:0030199","collagen fibril organization","29/4251","61/18722",1.70139660274217e-05,0.00027366309971799,0.000186212232769757,"DDR2/CRTAP/LOX/ATP7A/ANXA2/LOXL3/CYP1B1/DPT/FMOD/MMP11/TGFB2/COL14A1/COL12A1/ADAMTS14/COL1A2/SFRP2/EFEMP2/TGFBR1/LOXL4/AEBP1/COL3A1/SERPINH1/GREM1/LOXL1/PXDN/COMP/LUM/COL1A1/COL5A2",29
"GO:0150115","GO:0150115",NA,"42/4251","101/18722",1.72279834032833e-05,0.000276396777209197,0.000188072345403994,"PTPN11/ITGA6/DST/ITGA2/COL17A1/PIK3R1/ROCK2/FERMT2/SLK/APOD/DUSP3/S100A10/SDC4/TRIP6/IQGAP1/CTTN/RAB8B/SMAD3/AJUBA/SFRP1/SORBS1/PLEC/MACF1/FAM107A/ARF6/NRP1/MYOC/EFNA5/RHOD/RAC1/LAMC1/TAOK2/RHOA/ITGB4/DLC1/LIMCH1/TEK/ACVRL1/PHLDB2/GREM1/VEGFA/PDPK1",42
"GO:0055002","GO:0055002","striated muscle cell development","30/4251","64/18722",1.73308987019897e-05,0.000277338590708116,0.000188713196123975,"TMOD3/WDR1/MYH11/CAPN3/AKAP13/LMOD1/CFLAR/PDGFRA/PRKAR1A/EDN1/SDC1/PLEC/KRT8/OBSCN/PGM5/FLII/CSRP1/PROX1/LMOD2/ACTA1/ITGB1/TMOD2/SIX4/PDGFRB/CFL2/LDB3/TNNT1/ACTC1/KRT19/NEB",30
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","56/4251","147/18722",1.7859930007861e-05,0.000285077203407919,0.000193978883572724,"GATA3/TP63/RARG/FGFR2/TMED2/WNT2B/CECR2/FZD3/OSR1/GRHL3/SDC4/WNT16/SOX9/PTK7/KIF20B/SOX11/FUZ/IRX3/SFRP1/CITED2/GRHL2/STIL/BMP4/CELSR1/NPHP3/SEC24B/RGMA/TGFB2/AR/IRX1/PRKACB/SPINT1/SOX4/HECTD1/ARHGAP35/PAX2/FZD6/PCDH8/IFT57/LHX2/BRD2/SFRP2/DLC1/FOLR1/TGFB1I1/ADM/VANGL2/TWIST1/SIX4/SULF1/MIB1/IRX2/GREM1/RET/CTHRC1/SIX1",56
"GO:0070301","GO:0070301","cellular response to hydrogen peroxide","41/4251","98/18722",1.81581552686329e-05,0.000288369893671225,0.000196219372723001,"AQP1/KLF4/PTPN11/ARG1/RIPK1/NET1/EZH2/STK26/NFE2L2/PLEKHA1/ECT2/CYP1B1/AXL/CDK1/PAWR/PCNA/NQO1/RIPK3/ANXA1/STAT6/PRKCD/PINK1/ZNF277/MYB/MAPK13/PYCR1/TXN/IMPACT/IL18BP/RHOB/PDGFD/HDAC2/PRKAA1/PAX2/PPP5C/TRPM2/MET/ZNF580/MAP1LC3A/FOXO1/LCN2",41
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","41/4251","98/18722",1.81581552686329e-05,0.000288369893671225,0.000196219372723001,"EGFR/CCNE2/CDKN2A/CCND1/CDC25A/CKS2/CDC6/CCNF/CEBPA/CCNE1/PSRC1/BLM/CCNB1/CDK5R1/CDC25C/CCNA2/CCNB2/CCND3/CDKN2C/CCNG2/CDK5R2/NR2F2/MYOCD/HEXIM1/PKMYT1/HSP90AB1/CDKN3/LATS2/PLK1/PROX1/SFN/DIRAS3/CCNJ/GTF2H1/CDK7/CCND2/CDKN1C/CCNA1/RGCC/CDKN2B/ACTB",41
"GO:0030832","GO:0030832","regulation of actin filament length","68/4251","188/18722",1.835881182771e-05,0.000290820269179861,0.000197886714410857,"GSN/TMOD3/ARFIP1/WDR1/NCK1/F2RL1/SPTBN1/TWF1/EVL/LMOD1/CYFIP2/ABI2/ARPIN/FER/ADD3/ARFGEF1/BAIAP2/ADD2/CXCL12/ACTR2/CCL21/CTTN/ADD1/SWAP70/WASF1/FCHSD2/DSTN/ARPC5/SLIT2/AVIL/ARF6/FLII/DLG1/CARMIL1/MLST8/PYCARD/PRKCD/ACTR3/KANK1/SCIN/CTNNA2/PIK3CA/NCKAP1/CYFIP1/CAPZA2/SPIRE2/RHOA/CDC42EP5/IQGAP2/ARHGAP35/SNX9/LMOD2/SPTAN1/CAPG/SPIRE1/ELN/MYADM/SVIL/SSH1/PLEKHH2/TMOD2/RDX/CFL2/KANK4/BAG4/WASL/PPP1R9A/NEB",68
"GO:0030073","GO:0030073","insulin secretion","70/4251","195/18722",1.864088919067e-05,0.000294544830964919,0.000200421067660525,"ISL1/SNAP25/RIMS2/UCP2/PTPN11/CCN3/ABCA12/SYT7/STX1A/REST/PCLO/CHGA/TCF7L2/GLUL/CPLX1/VSNL1/JAK2/ILDR2/PFKM/GJA1/HMGCR/TRPM4/ANO1/ADRA2A/SFRP1/IL1RN/GLUD1/INHBB/SLC16A1/STX4/BRSK2/IRS1/STXBP3/ANXA1/CNR1/GPER1/AACS/ADCYAP1/KIF5B/EFNA5/HDAC1/RAC1/SRI/SOX4/RBP4/PPP3CA/FKBP1B/KCNB1/GAL/RAPGEF4/GPLD1/TFAP2B/ARNTL/TIAM1/TRPM2/FOXA2/CD38/SYT9/CPLX3/LEP/RFX3/DPP4/KLF7/MIDN/NEUROD1/GPR27/SYBU/PTPRN2/ENSA/CCL5",70
"GO:0072163","GO:0072163","mesonephric epithelium development","39/4251","92/18722",2.00096435782933e-05,0.00031458770467828,0.000214059107531933,"GATA3/CAT/FGFR2/WNT2B/OSR1/TACSTD2/SDC4/LGR4/SOX9/SDC1/SPRY1/SMAD3/GLI3/SFRP1/HOXB7/WNT11/SLIT2/DLG1/FOXJ1/BMP4/ARG2/SMAD1/SMAD5/SIX2/BMP2/PAX2/CTNNBIP1/MYC/HES1/EYA1/EPCAM/NPNT/SIX4/CALB1/GREM1/ROBO2/RET/VEGFA/SIX1",39
"GO:0072164","GO:0072164","mesonephric tubule development","39/4251","92/18722",2.00096435782933e-05,0.00031458770467828,0.000214059107531933,"GATA3/CAT/FGFR2/WNT2B/OSR1/TACSTD2/SDC4/LGR4/SOX9/SDC1/SPRY1/SMAD3/GLI3/SFRP1/HOXB7/WNT11/SLIT2/DLG1/FOXJ1/BMP4/ARG2/SMAD1/SMAD5/SIX2/BMP2/PAX2/CTNNBIP1/MYC/HES1/EYA1/EPCAM/NPNT/SIX4/CALB1/GREM1/ROBO2/RET/VEGFA/SIX1",39
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","24/4251","47/18722",2.01041644173132e-05,0.000315283558474515,0.000214532596611066,"PAFAH1B1/PDLIM5/LRP8/ABI2/DNM3/BAIAP2/CDK5R1/ACTR2/EPHA4/ARHGAP33/TANC2/KIF1A/RELN/NGEF/CAMK2B/ADAM10/CAPRIN1/LZTS3/SRCIN1/ARC/TIAM1/PPFIA2/CUX2/PPP1R9A",24
"GO:0001838","GO:0001838","embryonic epithelial tube formation","48/4251","121/18722",2.03003305678513e-05,0.000317566019082621,0.000216085681723682,"GATA3/RARG/TMED2/CECR2/FZD3/OSR1/GRHL3/SDC4/SOX9/PTK7/KIF20B/SOX11/FUZ/IRX3/SFRP1/CITED2/GRHL2/STIL/BMP4/CELSR1/NPHP3/SEC24B/RGMA/TGFB2/IRX1/PRKACB/SPINT1/SOX4/HECTD1/ARHGAP35/PAX2/FZD6/IFT57/LHX2/BRD2/SFRP2/DLC1/FOLR1/ADM/VANGL2/TWIST1/SIX4/MIB1/IRX2/GREM1/RET/CTHRC1/SIX1",48
"GO:0045137","GO:0045137","development of primary sexual characteristics","79/4251","227/18722",2.04535948575764e-05,0.000319167663038748,0.000217175509681781,"CTNNA1/GATA3/ANG/AKR1C3/CCND1/TLR3/SLIT3/CTSV/YBX3/EREG/DACH2/WNT2B/ARRB1/NUPR1/OSR1/CBX2/BRIP1/PDGFRA/FNDC3A/ASPM/BCL2L11/FANCA/SOX9/KIF18A/PATZ1/SDC1/PLEKHA1/TIPARP/IDH1/NR2F2/TFAP2C/SFRP1/INHBB/CITED2/FANCG/SLIT2/NRIP1/HMGB2/MGST1/PGR/BRCA2/NHLH2/CEBPB/NASP/ADCYAP1/DACH1/TNFSF10/ESR1/TGFB2/BIK/AR/ACVR2A/IRX5/SOX15/TMF1/HSD17B4/LHX9/ARID5B/SFRP2/TGFBR1/FGF9/ZFPM2/KDM5A/ADAM15/TESC/SRD5A1/DMC1/ADAMTS1/LEP/SIX4/ARRB2/PDGFRB/BOK/REC8/BAX/ROBO2/FST/VEGFA/SF1",79
"GO:0009914","GO:0009914","hormone transport","101/4251","306/18722",2.08066583379202e-05,0.000323871384004401,0.00022037612527169,"ISL1/SNAP23/GATA3/SNAP25/AGTR1/EGFR/RIMS2/UCP2/PTPN11/PASK/CREB1/CCN3/ABCA12/SYT7/STX1A/REST/PCLO/CRY2/CHGA/TCF7L2/GLUL/CPLX1/VSNL1/JAK2/RAB11FIP1/ILDR2/PFKM/GJA1/CHD7/HMGCR/TRPM4/ADIPOQ/EDN1/SOX11/RAB8B/ANO1/ADRA2A/SFRP1/IL1RN/GLUD1/SCG5/INHBB/SLC16A1/RAB1A/STX4/BRSK2/IRS1/P2RY1/STXBP3/ANXA1/VAMP8/CNR1/PLA2G3/GPER1/AACS/ADCYAP1/KIF5B/TBX3/MYB/EFNA5/HDAC1/RAC1/SRI/SOX4/RBP4/PPP3CA/FKBP1B/KCNB1/TMF1/GAL/TFR2/SPP1/RAPGEF4/GPLD1/TFAP2B/ADM/RAB11FIP3/ADORA1/ARNTL/ITSN1/TIAM1/TRPM2/FOXA2/CD38/SYT9/CPLX3/LEP/RFX3/DPP4/KLF7/MIDN/NEUROD1/NMU/GPR27/SYBU/PTPRN2/VIP/SLC7A5/ENSA/TAC1/CCL5",101
"GO:0032355","GO:0032355","response to estradiol","54/4251","141/18722",2.09940334398102e-05,0.000325979138039429,0.000221810332460736,"PTGFR/CAT/EGFR/TXNIP/HPGD/CCND1/ITGA2/CRYAB/POU4F1/CFLAR/DNMT3A/PPARGC1A/EZH2/NCOA3/CCNA2/BCL2L11/GJA1/KIF18A/TFPI/NR2F2/SFRP1/STXBP1/NRIP1/IGFBP2/ARNT2/PCNA/NQO1/ANXA1/ASS1/GPER1/DNMT3B/ESR1/GJB2/STAT3/OXTR/POU4F2/PAM/ZNF703/SSTR2/DUSP1/F7/WFDC1/BID/SRD5A1/CD38/LEP/PDGFRB/POSTN/MBD2/GH1/PTN/CCN2/COL1A1/PENK",54
"GO:0046519","GO:0046519","sphingoid metabolic process","14/4251","21/18722",2.11480447810645e-05,0.000327559715831155,0.000222885826087633,"PLPP3/ACER1/SPTLC1/SPTLC3/ASAH1/KDSR/SGPP1/DEGS2/SGPP2/SPHK2/PLPP1/ASAH2B/NAAA/PLPP2",14
