"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","7/46","480/18722",0.000156968675337038,0.0194355759826405,0.0159221814217474,"FZD7/JCAD/NTF3/DVL2/RIPK2/BCAR3/SASH1",7,"Module_14"
"GO:0048545","GO:0048545","response to steroid hormone","6/46","339/18722",0.000171494493621463,0.0194646250260361,0.0159459792314694,"AREG/TAF7/DDX5/FOSB/FOSL1/NR3C2",6,"Module_14"
"GO:0044706","GO:0044706","multi-multicellular organism process","5/46","220/18722",0.000198252789715872,0.020770792276386,0.0170160289148846,"ACVR1B/NAMPT/PRDM1/FOSB/FOSL1",5,"Module_14"
"GO:0090179","GO:0090179","planar cell polarity pathway involved in neural tube closure","2/46","10/18722",0.000262455779899781,0.0253271730296555,0.0207487467435156,"FZD2/DVL2",2,"Module_14"
"GO:0060071","GO:0060071","Wnt signaling pathway, planar cell polarity pathway","3/46","52/18722",0.000281966981433061,0.0253271730296555,0.0207487467435156,"FZD2/FZD7/DVL2",3,"Module_14"
"GO:0046683","GO:0046683","response to organophosphorus","4/46","131/18722",0.000297529198586261,0.0253271730296555,0.0207487467435156,"AREG/FOSB/FOSL1/HSP90B1",4,"Module_14"
"GO:0090178","GO:0090178","regulation of establishment of planar polarity involved in neural tube closure","2/46","11/18722",0.000320277270157068,0.0256598612914075,0.0210212945118571,"FZD2/DVL2",2,"Module_14"
"GO:0090175","GO:0090175","regulation of establishment of planar polarity","3/46","56/18722",0.000351248864393015,0.0265778307390715,0.0217733214185144,"FZD2/FZD7/DVL2",3,"Module_14"
"GO:0090177","GO:0090177","establishment of planar polarity involved in neural tube closure","2/46","12/18722",0.000383731341799207,0.0268272315495563,0.0219776377173891,"FZD2/DVL2",2,"Module_14"
"GO:0090596","GO:0090596","sensory organ morphogenesis","5/46","256/18722",0.000398672753270424,0.0268272315495563,0.0219776377173891,"FZD2/OSR1/DVL2/PRDM1/BCAR3",5,"Module_14"
"GO:0022411","GO:0022411","cellular component disassembly","107/2570","443/18722",1.8205454519792e-09,6.4307960460909e-06,5.99865392774756e-06,"ADD1/APEH/ARID2/ATP13A2/BLCAP/CAPZB/CDC37/CDK5/CHMP1A/CHMP2A/CISD2/CTTN/DCTN1/DDR1/DDRGK1/DNASE2/FIS1/FSCN1/FURIN/GBF1/GOLGA2/GSN/HDGFL3/IQSEC1/KLC1/LMOD1/MAP1A/MAP1LC3A/MAPRE2/MCOLN1/MUL1/PBXIP1/PELO/PEX14/PHF23/PINK1/PLEKHH2/SET/SHARPIN/SMARCD3/SREBF2/STMN3/TBC1D25/TECPR1/TEX264/TOMM7/TRIOBP/TSC2/TSPO/VCP/WDR1/ATG5/ATG9A/CAMKK2/CAPG/CAPN10/CAPZA1/CFL1/DENR/DYRK3/FBXW7/FLII/GAK/HAX1/HDAC6/HMGA1/HSF1/HTT/IRAK3/KATNB1/MICAL1/MMP14/MTIF2/NDEL1/PPP1R9B/SREBF1/SWAP70/TGFB1/TIGAR/TRPV4/TWF2/VPS16/VPS4A/VTA1/WASHC1/ADAM15/ATG14/BOK/CIB1/CLEC16A/CTDNEP1/MAP1S/MTRF1L/PARK7/PLAAT3/PPP1CA/SH3BP1/SH3GL1/SH3PXD2B/SMARCC2/SNAPIN/SPAST/SPTAN1/SPTBN4/STX17/STX5/UFM1",107,"Module_1"
"GO:0006790","GO:0006790","sulfur compound metabolic process","87/2570","339/18722",2.8027816556656e-09,6.4307960460909e-06,5.99865392774756e-06,"ABCD1/ACLY/ACOT8/ACSF2/ACSL5/ACSS2/BGN/CHPF2/CHST7/COMT/DGAT1/ELOVL1/FAR1/G6PD/GGT7/GLO1/GSS/GSTK1/GSTM1/GSTM2/HACD1/HAGH/HSPA9/IDUA/MAT2A/MPC2/MVD/NDST1/OGDH/PDK2/SLC25A1/SLC35B2/TST/XYLT2/ABHD14B/B3GALT6/BOLA2B/CHPF/CHST12/CIAO3/ETHE1/FAR2/FASN/GCDH/GLRX2/GPAM/GPX1/GSR/GSTM4/GSTO1/GSTP1/GSTZ1/KYNU/MAT2B/MICAL1/MTHFD2L/NFE2L2/PAX8/PDHX/PMVK/PTGES2/SLC7A11/SUCLA2/TPST2/AASS/ACOT11/ACOT7/ACSF3/AKR1A1/B4GAT1/CBS/CSGALNACT2/DLST/GSTM5/GSTT2/GSTT2B/HSCB/MPST/MRI1/NUBP2/NUBPL/NUDT19/PARK7/PEMT/PPT1/SQOR/ST3GAL4",87,"Module_1"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","100/2570","412/18722",4.69757731030583e-09,6.4307960460909e-06,5.99865392774756e-06,"AMFR/ARAF/AUP1/BCAP31/DDA1/DDB1/DDRGK1/EDEM2/ELOB/FBXL12/FBXL16/FBXO22/FBXO31/FBXO44/FBXO6/FBXW4/FBXW5/GIPC1/HECTD3/KLHL22/MAN1B1/MAP1A/MDM2/PLK2/PSMB5/RHBDD2/RMND5A/SEC61B/SELENOS/SHARPIN/SIRT2/STUB1/SYVN1/TNFAIP1/TRPC4AP/UCHL1/USP5/VCP/WFS1/ANAPC11/ASCC2/BAG5/BAG6/BIRC2/CALR/CD2AP/CSNK1D/CUL2/DVL1/FBXL18/FBXL19/FBXL6/FBXO2/FBXW7/FBXW8/KCTD17/NFE2L2/NPLOC4/PELI1/PSMD8/RAD23A/RCHY1/RNF216/SIRT6/STT3B/SUMO1/TMEM67/TMUB1/TOPORS/UBE2G1/UBE2J2/UBE2K/UBXN2A/USP19/AKT1/ANAPC5/ANKRD9/CDC27/CLU/COP1/DMAC2/ERCC8/FBXL5/FBXL8/HFE/MAEA/PARK7/PLAA/PML/PPP2CB/PPP2R5C/PSMD10/PSMD4/RNF126/RNF144B/SMURF1/TRIM3/UBE2V2/UBE3D/ZNF598",100,"Module_1"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","114/2570","490/18722",5.40675638648974e-09,6.4307960460909e-06,5.99865392774756e-06,"ABCD1/ACADVL/ACO2/ACSS2/ALDH2/ALDH4A1/ALDOA/ALDOC/ATP5F1EP2/ATP5MF/ATP5PD/CAVIN3/CHCHD10/COX5B/COX6A1/COX6B1/CYB561/CYBA/DNAJC30/DYRK2/ENO3/ETFB/G6PD/GAA/GALK1/GYS1/IDH3G/JMJD8/MDH2/MTLN/NDUFA3/NDUFB7/NDUFS7/NDUFV1/OGDH/P4HA2/PFKL/PINK1/PRKAG1/PYGB/QDPR/SELENOS/SLC25A22/SLC25A23/SLC2A6/SURF1/TALDO1/VCP/ZBTB7A/AKT2/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/BLOC1S1/COX17/COX8A/CYB5R4/CYC1/EIF6/FDX1/FOXK1/GAPDH/GLRX2/GPI/GSR/LOXL2/MTFR1L/MYBBP1A/NDUFB2/NDUFS2/NDUFS8/NDUFV3/PDIA5/PGLS/PHLDA2/PLEC/PPARD/PPP1R3F/RPE/SCO2/SLC27A5/SUCLA2/TIGAR/TRPV4/UQCR10/UQCRC1/UQCRHL/UQCRQ/AKR1A1/AKT1/BID/COQ9/COX4I1/COX7C/CROT/DLST/IFNAR1/IREB2/LEPR/ME3/NDUFA10/NDUFS5/NDUFS6/PARK7/PGM1/PHKG2/POLG2/PPP1CA/PRELID1/SDHAF2/SDHD/UQCC3/UQCRH",114,"Module_1"
"GO:0010498","GO:0010498","proteasomal protein catabolic process","114/2570","490/18722",5.40675638648974e-09,6.4307960460909e-06,5.99865392774756e-06,"AMFR/ARAF/AUP1/BCAP31/DDA1/DDB1/DDRGK1/EDEM2/ELOB/FBXL12/FBXL16/FBXO22/FBXO31/FBXO44/FBXO6/FBXW4/FBXW5/GIPC1/HECTD3/HM13/KLHL22/MAN1B1/MAP1A/MDM2/PINK1/PLK2/PSMB5/RCN3/RHBDD2/RHBDF1/RMND5A/SEC61B/SELENOS/SHARPIN/SIRT2/STUB1/SYVN1/TMEM259/TNFAIP1/TRPC4AP/UBXN6/UCHL1/UGGT1/UGGT2/USP5/VCP/WFS1/ALAD/ANAPC11/ASCC2/BAG5/BAG6/BIRC2/CALR/CD2AP/CSNK1D/CUL2/DDI2/DVL1/FBXL18/FBXL19/FBXL6/FBXO2/FBXW7/FBXW8/GPX1/KCTD17/NFE2L2/NPLOC4/PELI1/PKD1/PSMD8/PSME2/RAD23A/RCHY1/RNF216/SIRT6/STT3B/SUMO1/TMEM67/TMUB1/TOPORS/UBB/UBE2G1/UBE2J2/UBE2K/UBXN2A/USP19/AKT1/ANAPC5/ANKRD9/CDC27/CLU/COP1/DMAC2/ERCC8/FBXL5/FBXL8/HFE/MAEA/PARK7/PLAA/PML/PPP2CB/PPP2R5C/PSMD10/PSMD4/RNF126/RNF144B/SMURF1/TRIM3/UBE2V2/UBE3D/ZNF598",114,"Module_1"
"GO:0009060","GO:0009060","aerobic respiration","55/2570","189/18722",2.5085035351395e-08,2.48634508724577e-05,2.31926554915529e-05,"ABCD1/ACO2/ATP5F1EP2/ATP5MF/ATP5PD/CHCHD10/COX5B/COX6A1/COX6B1/DNAJC30/IDH3G/MDH2/NDUFA3/NDUFB7/NDUFS7/NDUFV1/OGDH/PINK1/SLC25A23/SURF1/VCP/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/BLOC1S1/COX8A/CYC1/MTFR1L/NDUFB2/NDUFS2/NDUFS8/NDUFV3/SUCLA2/TRPV4/UQCR10/UQCRC1/UQCRHL/UQCRQ/AKT1/BID/COQ9/COX4I1/COX7C/DLST/IREB2/ME3/NDUFA10/NDUFS5/NDUFS6/PARK7/SDHAF2/SDHD/UQCC3/UQCRH",55,"Module_1"
"GO:0045333","GO:0045333","cellular respiration","63/2570","230/18722",3.19894780845689e-08,2.71773465955616e-05,2.53510600760418e-05,"ABCD1/ACO2/ATP5F1EP2/ATP5MF/ATP5PD/CHCHD10/COX5B/COX6A1/COX6B1/DNAJC30/IDH3G/MDH2/MTLN/NDUFA3/NDUFB7/NDUFS7/NDUFV1/OGDH/PINK1/SLC25A22/SLC25A23/SURF1/VCP/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/BLOC1S1/COX8A/CYC1/MTFR1L/MYBBP1A/NDUFB2/NDUFS2/NDUFS8/NDUFV3/PLEC/SCO2/SUCLA2/TRPV4/UQCR10/UQCRC1/UQCRHL/UQCRQ/AKT1/BID/COQ9/COX4I1/COX7C/DLST/IFNAR1/IREB2/ME3/NDUFA10/NDUFS5/NDUFS6/PARK7/POLG2/PRELID1/SDHAF2/SDHD/UQCC3/UQCRH",63,"Module_1"
"GO:0016236","GO:0016236","macroautophagy","74/2570","291/18722",6.31370361210517e-08,4.69344942264868e-05,4.37805500470977e-05,"ATP13A2/ATP6V0B/ATP6V0D1/ATP6V0E1/AUP1/BAG3/CAPN1/CAPNS1/CDC37/CDK5/CHMP2A/DDRGK1/EXOC7/IKBKG/LRSAM1/MAP1LC3A/MAPK3/MCOLN1/NRBP2/PACS2/PHF23/PINK1/QSOX1/RAB1B/RAB43/SESN1/TBC1D25/TCIRG1/TECPR1/TEX264/TOMM7/TSC2/UBXN6/UCHL1/VCP/VPS26A/VPS28/ATG5/ATG9A/CHMP6/EI24/EMC6/GAPDH/GPSM1/HDAC10/HDAC6/HGS/HTT/MVB12A/NPRL3/PIK3R4/RAB1C/SPTLC1/TIGAR/TP53INP1/UBXN2A/VPS16/VPS4A/VTA1/AKT1/ATG14/ATP6V0E2/C9orf72/CLEC16A/MAP3K7/PLAA/POLDIP2/SMURF1/SNAPIN/STX17/TBK1/UFM1/VPS25/VPS36",74,"Module_1"
"GO:1903008","GO:1903008","organelle disassembly","37/2570","114/18722",2.39335878801654e-07,0.000158147830137048,0.000147520477343241,"ATP13A2/CDC37/CISD2/CTTN/DDRGK1/FIS1/GBF1/GOLGA2/KLC1/MAP1LC3A/MUL1/PELO/PINK1/SREBF2/TEX264/TOMM7/TSC2/TSPO/VCP/ATG5/ATG9A/CAMKK2/DENR/DYRK3/FBXW7/HAX1/HDAC6/HTT/MTIF2/SREBF1/TIGAR/ATG14/PARK7/PLAAT3/SPAST/STX5/UFM1",37,"Module_1"
"GO:0048193","GO:0048193","Golgi vesicle transport","73/2570","296/18722",2.84666582834288e-07,0.00016288776078275,0.000151941890086128,"AP3D1/ARFRP1/BCAP31/BET1L/COPE/COPG1/COPZ2/ERGIC1/ERGIC3/GBF1/GGA1/GOLGA2/KDELR1/NRBP2/OSBPL5/PITPNB/RAB1B/RER1/RNF215/SCAMP2/SCAMP3/SCAP/SCYL1/SEC13/SGSM2/TAPBP/TMED9/TMEM115/TRAPPC1/USE1/VCP/YIF1A/YIF1B/YKT6/AP1AR/AP2A1/ARFGAP2/CCDC22/COG1/COG4/CSNK1D/CUX1/GAK/GGA3/HTT/KIF1C/LMAN2/MYO18A/PEF1/SEC16A/SNX12/TFG/TMED3/TRAPPC12/TRAPPC3/TRAPPC5/VPS51/AP4M1/ARF5/CEP19/DNM2/LLGL1/PKDCC/PPP6C/RAB26/RAB34/RAB6C/SPAST/STX17/STX5/TBC1D20/TMED2/TMED7",73,"Module_1"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","77/2570","318/18722",3.01288947134733e-07,0.00016288776078275,0.000151941890086128,"ABCD1/ACADVL/ACO2/ATP5F1EP2/ATP5MF/ATP5PD/CAVIN3/CHCHD10/COX5B/COX6A1/COX6B1/DNAJC30/DYRK2/GAA/GYS1/IDH3G/MDH2/MTLN/NDUFA3/NDUFB7/NDUFS7/NDUFV1/OGDH/PINK1/PYGB/SELENOS/SLC25A22/SLC25A23/SURF1/VCP/AKT2/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/BLOC1S1/COX8A/CYC1/MTFR1L/MYBBP1A/NDUFB2/NDUFS2/NDUFS8/NDUFV3/PHLDA2/PLEC/PPP1R3F/SCO2/SUCLA2/TIGAR/TRPV4/UQCR10/UQCRC1/UQCRHL/UQCRQ/AKT1/BID/COQ9/COX4I1/COX7C/DLST/IFNAR1/IREB2/LEPR/ME3/NDUFA10/NDUFS5/NDUFS6/PARK7/PHKG2/POLG2/PPP1CA/PRELID1/SDHAF2/SDHD/UQCC3/UQCRH",77,"Module_1"
"GO:0010821","GO:0010821","regulation of mitochondrion organization","43/2570","144/18722",3.70364573767243e-07,0.00018354651001615,0.000171212395066085,"ADCK1/ATP13A2/BCL2L11/CHCHD10/CTTN/CYRIB/FIS1/INF2/MIEF2/MUL1/NOL3/PINK1/SLC35F6/SREBF2/TFRC/TSC2/TSPO/VAT1/BCL2L1/BCL2L2/CAMKK2/FBXW7/GPX1/HAX1/HDAC6/HTT/MFF/OPA1/PARL/SREBF1/TIGAR/WDR35/ZDHHC6/AKT1/BAD/BID/BOK/CLU/PARK7/PRELID1/PSMD10/RHOT2/SIRT7",43,"Module_1"
"GO:0046034","GO:0046034","ATP metabolic process","69/2570","277/18722",4.01402444651185e-07,0.000183626179872354,0.000171286711199332,"ABCD1/AK1/ALDOA/ALDOC/ATP5F1EP2/ATP5MF/ATP5PD/CHCHD10/COX5B/COX6A1/COX6B1/DNAJC30/ENO3/FIS1/GALK1/GUK1/JMJD8/NDUFA3/NDUFB7/NDUFS7/NDUFV1/OGDH/OLA1/PFKL/PINK1/PRKAG1/SLC25A23/SLC2A6/TSPO/VCP/ZBTB7A/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/ATP5MC1/COX8A/CYC1/EIF6/FOXK1/GAPDH/GPI/NDUFB2/NDUFS2/NDUFS8/NDUFV3/TGFB1/TIGAR/UQCR10/UQCRC1/UQCRHL/UQCRQ/ATP5MC2/BAD/BID/COQ9/COX4I1/COX7C/FAM20C/NADK/NDUFA10/NDUFS5/NDUFS6/PARK7/PGM1/SDHAF2/SDHD/UQCC3/UQCRH",69,"Module_1"
"GO:0022900","GO:0022900","electron transport chain","49/2570","175/18722",5.12528895952332e-07,0.000215076279735639,0.000200623400424242,"ALDH2/ALDH4A1/COX5B/COX6A1/COX6B1/CYB561/CYBA/ETFB/NDUFA3/NDUFB7/NDUFS7/NDUFV1/P4HA2/PINK1/QDPR/SLC25A22/SURF1/COX8A/CYC1/FDX1/GLRX2/GSR/LOXL2/MYBBP1A/NDUFB2/NDUFS2/NDUFS8/NDUFV3/PDIA5/PLEC/SCO2/UQCR10/UQCRC1/UQCRHL/UQCRQ/AKR1A1/BID/COQ9/COX4I1/COX7C/NDUFA10/NDUFS5/NDUFS6/PARK7/POLG2/SDHAF2/SDHD/UQCC3/UQCRH",49,"Module_1"
"GO:0006119","GO:0006119","oxidative phosphorylation","42/2570","141/18722",5.42482629230636e-07,0.000215076279735639,0.000200623400424242,"ABCD1/ATP5F1EP2/ATP5MF/ATP5PD/CHCHD10/COX5B/COX6A1/COX6B1/DNAJC30/NDUFA3/NDUFB7/NDUFS7/NDUFV1/PINK1/SLC25A23/VCP/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/COX8A/CYC1/NDUFB2/NDUFS2/NDUFS8/NDUFV3/UQCR10/UQCRC1/UQCRHL/UQCRQ/BID/COQ9/COX4I1/COX7C/NDUFA10/NDUFS5/NDUFS6/PARK7/SDHAF2/SDHD/UQCC3/UQCRH",42,"Module_1"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","85/2570","368/18722",6.46375707583403e-07,0.000240249770812406,0.000224105261773983,"ABCD1/ACLY/ACOT8/ACSF2/ACSL5/ACSS2/ADCY6/ADK/AK1/ALDOA/ALDOC/AMPD2/APRT/ATP5F1EP2/ATP5MF/ATP5PD/DGAT1/DNAJC30/ELOVL1/ENO3/FAR1/GALK1/GUK1/HACD1/JMJD8/MPC2/MVD/NME3/NME4/NUDT16/NUDT3/OGDH/PDE10A/PDK2/PFKL/PINK1/PRKAG1/SLC25A1/SLC2A6/SLC35B2/VCP/ZBTB7A/ABHD14B/ADCY3/ADSS1/AK3/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/ATP5MC1/CARD11/EIF6/FAR2/FASN/FOXK1/GAPDH/GCDH/GPAM/GPI/KYNU/OPA1/PANK1/PDHX/PMVK/SUCLA2/TGFB1/TIGAR/TPST2/AASS/ACOT11/ACOT7/ACSF3/ATP5MC2/BAD/COASY/CROT/DLST/NME7/NT5C/NUDT19/PANK4/PGM1/PPT1/UQCC3",85,"Module_1"
"GO:0016197","GO:0016197","endosomal transport","59/2570","230/18722",9.71739360187638e-07,0.00033993729264917,0.000317093896482282,"AP3D1/ARFRP1/ARHGAP1/BET1L/CHMP1A/CHMP2A/DCTN1/EHD1/EHD2/EPS15L1/GBF1/GGA1/MICALL2/PTPN23/SGSM2/SNX17/TBC1D10A/TBC1D17/UBXN6/VCP/VPS26A/VPS28/VPS53/YKT6/AP5S1/BLOC1S1/CCDC22/CHMP6/GGA3/HGS/LAMTOR1/MVB12A/PHETA2/RAB11B/SLC66A2/SNX12/VPS16/VPS4A/VPS51/VTA1/WASHC1/AP5B1/AP5M1/BLOC1S2/CHMP4BP1/CLEC16A/CMTM6/DENND2A/GRIPAP1/LAPTM4B/PLEKHJ1/RAB11FIP3/RAB6C/RNF126/STX10/STX5/TBC1D10B/VPS25/VPS36",59,"Module_1"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","89/2570","396/18722",1.23003228645981e-06,0.000406389000420918,0.00037908012571013,"ABCD1/ACLY/ACOT8/ACSF2/ACSL5/ACSS2/ADCY6/ADK/AK1/ALDOA/ALDOC/AMPD2/APRT/ATP5F1EP2/ATP5MF/ATP5PD/DGAT1/DNAJC30/ELOVL1/ENO3/FAR1/G6PD/GALK1/GUK1/HACD1/JMJD8/MPC2/MVD/NME3/NME4/NUDT14/NUDT16/NUDT3/OGDH/PDE10A/PDK2/PFKL/PINK1/PRKAG1/SLC25A1/SLC2A6/SLC35B2/VCP/ZBTB7A/ABHD14B/ADCY3/ADSS1/AK3/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/ATP5MC1/CARD11/EIF6/FAR2/FASN/FOXK1/GAPDH/GCDH/GPAM/GPI/KYNU/OPA1/PANK1/PDHX/PMVK/SUCLA2/TGFB1/TIGAR/TPST2/AASS/ACOT11/ACOT7/ACSF3/ATP5MC2/BAD/COASY/CROT/DLST/NME7/NT5C/NUDT19/PANK4/PGM1/PPT1/PRPS1L1/UCKL1/UQCC3",89,"Module_1"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","106/2570","497/18722",1.73610907547981e-06,0.000543402140625182,0.000506886140043137,"ABCD1/ACLY/ACOT8/ACSF2/ACSL5/ACSS2/ADCY6/ADK/AK1/ALDOA/ALDOC/AMPD2/APRT/ASMTL/ATP5F1EP2/ATP5MF/ATP5PD/DGAT1/DNAJC30/ELOVL1/ENO3/FAR1/FCSK/GALK1/GUK1/HACD1/JMJD8/MPC2/MVD/NADSYN1/NME3/NME4/NT5C3A/NUDT14/NUDT16/NUDT3/OGDH/PDE10A/PDK2/PFKL/PINK1/PRKAG1/QPRT/SLC25A1/SLC2A6/SLC35B2/TK2/VCP/ZBTB7A/ABHD14B/ADCY3/ADSS1/AK3/ANTKMT/ATP5F1A/ATP5F1D/ATP5F1E/ATP5MC1/CARD11/DNPH1/EIF6/ENTPD6/FAR2/FASN/FOXK1/GAPDH/GCDH/GPAM/GPI/KYNU/MTHFD2L/NAPRT/NAXE/OPA1/PANK1/PDHX/PMVK/SUCLA2/TDG/TGFB1/TIGAR/TPST2/AASS/ACOT11/ACOT7/ACSF3/ATP5MC2/BAD/COASY/CROT/DLST/ENTPD1/NADK/NADK2/NME7/NT5C/NTHL1/NUDT19/PANK4/PARK7/PGM1/PPT1/PRPS1L1/SMUG1/UCKL1/UQCC3",106,"Module_1"
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process","50/2570","188/18722",2.08096318073417e-06,0.000618774401791305,0.000577193471708899,"ALDH4A1/ASS1/CPT1C/CRAT/DHFRP1/G6PD/GGT7/GLO1/GSS/GSTK1/GSTM1/GSTM2/HAGH/LPCAT4/OSBPL10/OSBPL5/PTDSS2/SERINC2/SLC27A1/AASDHPPT/ABHD12/CKB/CPQ/CTSB/ETHE1/GAMT/GGACT/GLRX2/GPX1/GSR/GSTM4/GSTO1/GSTP1/GSTZ1/MTHFD2L/NFE2L2/PAX8/PLA2G15/PLOD3/PTGES2/SLC46A1/SLC7A11/CROT/DHFR2/FPGS/GSTM5/GSTT2/GSTT2B/PARK7/PEMT",50,"Module_1"
"GO:0016050","GO:0016050","vesicle organization","10/121","300/18722",2.53566871856476e-05,0.0403932026867366,0.037661353283104,"SAMD9/AP1M1/ARF1/PREB/SEC22B/SNX11/VPS37C/ARL8B/CHMP2B/USP8",10,"Module_11"
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","6/48","290/18722",9.31724092395272e-05,0.0416480669300686,0.0334439911059776,"CPEB2/IRS2/PDPK1/USF1/IGF2/YWHAG",6,"Module_13"
"GO:0008038","GO:0008038","neuron recognition","8/312","49/18722",1.35420330835928e-06,0.00455998527050283,0.00399719963194636,"EPHB2/EXT1/MYPN/ROBO2/ROBO4/EPHB3/NTM/SEMA3A",8,"Module_5"
"GO:0007369","GO:0007369","gastrulation","14/312","185/18722",2.81704744142918e-06,0.00455998527050283,0.00399719963194636,"COL11A1/COL5A1/EXT1/ITGB5/MYADM/PHLDB1/WNT5A/COL7A1/MACROH2A1/TP53/WLS/DUSP1/EXT2/SNAI1",14,"Module_5"
"GO:0001503","GO:0001503","ossification","21/312","408/18722",5.37331372833492e-06,0.00455998527050283,0.00399719963194636,"ATF4/COL11A1/CTHRC1/EXT1/FSTL3/GPNMB/SLC8A1/SMAD7/SPARC/WNT5A/HGF/IGFBP5/KREMEN1/MDK/NPR2/SEMA7A/ANKH/EGFR/EXT2/SNAI1/TPM4",21,"Module_5"
"GO:0007411","GO:0007411","axon guidance","15/312","227/18722",6.62875061437181e-06,0.00455998527050283,0.00399719963194636,"CHN1/EPHB2/EXT1/LAMC2/MYPN/ROBO2/ROBO4/WNT5A/EPHB3/SEMA7A/CXCL12/FYN/KALRN/LRP1/SEMA3A",15,"Module_5"
"GO:0097485","GO:0097485","neuron projection guidance","15/312","228/18722",6.99044752290533e-06,0.00455998527050283,0.00399719963194636,"CHN1/EPHB2/EXT1/LAMC2/MYPN/ROBO2/ROBO4/WNT5A/EPHB3/SEMA7A/CXCL12/FYN/KALRN/LRP1/SEMA3A",15,"Module_5"
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","17/312","288/18722",7.33313096301714e-06,0.00455998527050283,0.00399719963194636,"ATF4/BBC3/CD44/DDIT4/PERP/SERINC3/TP53/TRIB3/ZNF385A/CDKN1A/CXCL12/DDIT3/PDK1/SCN2A/SNAI1/TMEM117/YBX3",17,"Module_5"
"GO:0009612","GO:0009612","response to mechanical stimulus","14/312","216/18722",1.67250094445023e-05,0.00891443003391971,0.00781422621715317,"BTG2/COL11A1/FOS/IRF1/SLC8A1/DCN/MDK/PSPH/TNFRSF10A/BACE1/CXCL12/EGFR/FYN/XPC",14,"Module_5"
"GO:0010975","GO:0010975","regulation of neuron projection development","21/312","445/18722",1.99447597701917e-05,0.00930173733782317,0.00815373271131391,"CHN1/EPHB2/NEDD4L/ROBO2/TANC2/WNT5A/ABI3/CRABP2/EPHB3/HGF/KREMEN1/LRP8/MDK/PAFAH1B1/SEMA7A/CXCL12/FKBP4/FYN/LRP1/SEMA3A/SPOCK1",21,"Module_5"
